OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
GPX2	57.0234	61	52.0212	61.0318	59	33.00004	50.07676	46	55
GPX3	54	38	41	51	48	42	49	37	50
GPX4	2253.9962	1417.9967	2108.998	2237.9959	2134.0021	1717.9987	3446.0002	2630.0047	3052.002
GPX5	0	0	0	0	0	0	0	0	0
GPX6	4.26375	2	2	2	4	1.07535	0	0	3
GPX7	498	336	496	476	479	397	711	615	703
GPX8	68.1575	52.6668	68.386	74.5358	75.0126	55.8731	81.0292	38.7168	55.8616
GRAMD1A	862	541	802	832	769	609	1064	902	1019
GRAMD1B	0	0	0	0	0	0	1	0	0
GRAMD1C	196	126.99969	185.9999	193.0003	195.9996	140.9995	232.0003	210.99951	265.99999
GRAMD2	0	0	2	3	0	0	0	2	1
GRAMD3	97	68	97.0000346532	87.99999	86	81	194.0002	100	147.0001
GRAMD4	304.277	196	263.206	296.245	243.197	215.43	427.778	287.124	386.273
GRAP	3067.71	1950.16	2549.52	2839.22	2488.18	1891.44	3534.34	2710.93	3016.48
GRAP2	0	0	0	0	0	0	0	0	0
GRAPL	248.292	156.84	213.476	190.775	182.816	176.563	224.656	264.066	196.516
GRASP	0	2	2	5	3	1	29.99996	19	29
GRB10	0	0	0	0	1	3	35.0000000281191	27.000000037178	12
GRB14	0	0	0	0	0	0	0	0	0
GRB2	5698.3418	4041.54	5646.645	5528.35942	5316.3513	3985.36	7506.9878	5832.83	6843.2071
GRB7	31	16	18.99997	25	24	15	20	20	29
GREB1	437.4667	378.775	423.7231	465.9255	400.7615	326.72223	470.6237	368.8473	444.03195
GREB1L	41	26	47	30	19	28	44	37	31
GREM1	0	0	0	0	0	0	0	0	0
GREM2	51.7514	31.1342	72.0449	27.1097	58.283	55.0627	48.6208	57.9987	50.2246
GRHL1	180	114	166	194	146	134	286	156	216
GRHL2	2	5	1	4	3	1	4	2	1
GRHL3	5	4	5	3	1	2	3	0	7
GRHPR	4666	3190	4307	4285	3839	3064	4805	3905	4141
GRIA1	0	0	1	0	0	0	7.000002	0	0
GRIA2	2.00946	6.01956	11.0292	5.01148	4.0166	4.00632	6.00444	6.00842	5.00648
GRIA3	4.16398	9.36956	14.15804	8.20672	13.62842	5.19182	9.23722	4.30876	11.73186
GRIA4	18.86439	22.0401	26.32291	21.81301	25.72565	16.65439	10.01198	22.3392	21.85242
GRID1	8.15403	12.0065	17.0721	12.3275	7.11206	8.29083	19.6	14.3206	11.1069
GRID1-AS1	0	0	0	0	0	0	0	0	0
GRID2	42	24	73	45	53	20	39	37	48
GRID2IP	8	4	7	1	2	0	12	3	12
GRIK1	5	4	5	8	9	11	6	0	4
GRIK1-AS1	0	0	0	0	0	0	0	0	0
GRIK1-AS2	0	0	2	1	1	0	1	0	1
GRIK2	4.00184	2.00422	7.00878	6.00438	6.00883	3.00125	9.01301	3	4.00788
GRIK3	0	0	0	0	0	0	2	0	2
GRIK4	0	0	2	0	0	0	0	0	0
GRIK5	11	3	3	9	6	2	31	19	28
GRIN1	0	0	0	0	2	0	1	4.0000000137342	2
GRIN2A	1	3.000000014224	3	5.0000000143841	1	4.0000000286415	4	7.0000000282593	5.0000000170997
GRIN2B	9	5	15	6	12	2	1	1	7
GRIN2C	18	1	12	16	8	7	19	18	11
GRIN2D	18	10	20	21	17	15	36	35	23
GRIN3A	107	66	94	94	96	54	151	170	143
GRIN3B	43	13	39	60	35	39	60	58	36
GRINA	385.9997	222	332.0001	329	306.0002	198.9996	515.9999	371.9996	475.9995
GRIP1	12.999994671	2.0000049159	14.000016414	14.000036844	16.000004626	12.999967197	24.999988061	22.999974458	52.000006303
GRIP2	22.0047	4.00123	22.0144	9.00446	10.0132	16.0214	18.0176	9	14.0295
GRIPAP1	1614.212	1086.679	1674.459	1598.373	1541.681	1199.812	2935.002	2239.333	2380.459
GRK1	1	0	1	0	1	0	0	3	0
GRK4	57.00002	32.0000000236203	56.00003693	52	50	39	85	77	75
GRK5	114	62	124	125	92	91	170	132	169
GRK6	1174	686.999	1022	1049	892.001	709	1122.001	885.0001	975
GRK7	0	0	0	2	0	0	0	0	2
GRM1	1.00000025222	0	1.000000263015	1.000000298821	0	0	0	0	4.00000137322
GRM2	17	12.99998	15	17.99999	15	10	8	1	25.00003
GRM3	9	37.0083	10.0016	12.0021	12	8	10	16	11
GRM4	25.4749	12.5446	22.7575	18.2052	22.7863	17.2593	17.09497	26.2813	28.19995111278
GRM5	0	0	0	0	0	0	0	0	0
GRM5-AS1	0	1	0	0	0	0	0	0	0
GRM6	125.496	84.4444	156.851	118.46	124.544	114.616	147.695	115.999	129.993
GRM7	0	0	1	0	0	0	0	0	0
GRM8	4	1	1	2	4	2	0	0	2
GRN	287	147	256	356	282	206	523	511	526
GRP	0	0	0	0	0	0	0	0	0
GRPEL1	1367	1000	1329	1270	1249	994	1466	984	1278
GRPEL2	1568	1180	1624	1621	2040	1431	3493	2657	3206
GRPR	0	0	0	1	1	1	0	5	1
GRSF1	3286.909	2511.7503	3553.788	3141.211	3301.2878	2546.45	3834.6355	3013.1792	3317.053
GRTP1	17	7	15	7	12	9	8	9	14
GRWD1	2558.62	1635.03	2052.14	2229.8	1908.86	1552.54	2354	1786.58	2073.8
GRXCR1	0	0	0	0	0	0	0	0	0
GRXCR2	0	0	0	0	0	0	0	0	0
GSC	0	0	0	0	0	0	0	0	0
GSC2	0	0	0	0	0	0	0	0	0
GSDMA	109.075	59.7253	84.7254	92.9157	128.343	66.2871	92.7607	87.471	112.976
GSDMB	390.1496	277.1282	428.47551	430.843	390.496	329.0003	604.5087	374.9997	430.0683
GSDMC	33.067	21.435	41.9006	29.2646	23.8494	11.5247	20.9387	25.9324	25.7247
GSDMD	1017.39	731.7721	979.239	1140.703	928.819	691.7812	1397.877	1100.1148	1195.167
GSE1	1552.005	1056	1580.996	1684.996	1444.997	1095	1696.0015	1424.003	1689.9984
GSG1	101.716	79.8556	105.30522	135.419201722	141.665	96.879578674	102.1502	99.482	102.851
GSG1L	4.32303	2	11	6.17524	6	8.48384	14.6665	10	7.30951
GSG2	881.95	611.178	875.233	889.925	839.88	697.328	1297.85	909.034	1166.4
GSK3A	945	605	918	938	731	614	1180	881	1051
GSK3B	1009	742	984	1043	1040	788.9998	1183.9998	917.0003	1179.998
GSKIP	792.4114	538.9994	731.0306	704.9996	802.4406	597.0261	967.4138	742.9995	948.4747
GSN	39.3866	25.0709	51.93459	59.69611	40.15947	37.06104	129.092	99	120.00322368153
GSPT1	5556.779	3778.655	5974.18	5599.897	5502.9051	4632.7611	6213.2686	5013.3835	5655.327
GSPT2	469	338	540	479	426	418	758	453	567
GSR	3288.96457007302	2205.85753	3160.9242	2988.37768	2983.5936	2361.9878	3124.1485	2437.861	2708.67
GSS	1826	1082	1502	1734	1640	1248	2204	1862	2105
GSTA1	0	0	0	0	0	0	0	0	0
GSTA2	0	0	0	0	0	0	0	0	0
GSTA3	0	0	0	0	0	0	0	0	0
GSTA4	7	3	2	5	3	2	3	4	3
GSTA5	0	0	0	0	0	0	0	0	0
GSTA7P	1	1	0	1	2	2	0	0	1
GSTCD	1462.446	964.86	1413.604	1352.339	1445.297	1127.31	1685.361	1410.479	1615.985
GSTK1	2093.9988	1455.0006	2059.0022	2090.00035	1908.9986	1677.0011	3403.0043	2450.0021	2999.0036
GSTM1	128.87355	87.9796	159.602	141.01451	132.025	94.863	156.827	123.55501	138.981
GSTM2	43.19351	28.7684	38.32767	47.5702	36.63981	48.6334	55.1216	46.5009	42.1586
GSTM2P1	2.03349	0	0	0	0	0	0	2.01262	1.01307
GSTM3	370.137000028351	257.877000046187	337.049000027653	271.10300002672	313.1250001673	198.059000057334	281.209	274.164000041243	272.162000033645
GSTM4	211.11872	124.5373	186.9709	220.96896	169.4985	154	424.2662	327.9321	325.4014
GSTM5	0	0	0	0	0	0	2.01905	0	1.00902
GSTO1	404	264.9995	341.9999	352.9995	363.9998	245.0001	340.0002	247.9996	339.9999
GSTO2	12	9	14.000006	24	14	9	39	66	40.000045
GSTP1	13272	10093	11800	11632	11061	8180	12883	10154	11600
GSTT1	103	91	110	97	111	64	64	61	105
GSTT2	0	0	0	0	0	0	0	0	0
GSTT2B	0	0	0	0	0	0	0	0	0
GSTTP1	6	10	4	4	9	6	8	7	5
GSTTP2	98.9914	62.5417	86.2029	76.4193	83.3617	63.3207	52.0322	50.6757	68.2077
GSTZ1	917.0002	682.0004	951.9999	917.9997	910	629.9991	1196.0032	939.9995	993.9994
GSX1	0	0	0	0	0	1	0	0	0
GSX2	0	0	0	0	0	0	0	1	0
GTDC1	823.0002	627.0002	959	790	798	708.0006	769	568.0008	706.0001
GTDC2	0	0	0	0	0	0	0	0	0
GTF2A1	1572.004	1110	1784.001	1420.002	1766.996	1403.995	2140.005	1635.998	2006.998
GTF2A1L	0	0	0	0	0	0	0	0	2
GTF2A2	1558	1100	1649	1473	1755	1402	2217	1581	2077
GTF2B	1283	901	1253	1265	1353	1025	1871	1235	1539
GTF2E1	610.885	387.808	636.715	507.972	570.035	427.072	704.785	508.114	688.207
GTF2E2	885	691	1027	910	934	757	1230	894	952
GTF2F1	2921.12	1854.4	2758.48	2783.9	2529.28	2061	3902.44	3097.59	3376.71
GTF2F2	1572	1232	1771	1635	1689	1294	2152	1758	2070
GTF2H1	2596.004	1711.001	2750.002	2762.001	2687.004	2292.003	4170.998	3098	3711.997
GTF2H2	779.182	557.265	1049.9	985.36	912.902	854.367	1265.28	1036.74	1185.44
GTF2H2B	1750.29	1200.18	1669.2	1600.32	1926.44	1342.61	2054.94	1666.91	2045.04
GTF2H2C	483.912	353.184	461.008	370.984	509.321	376.213	551.35	320.98	345.737
GTF2H2D	1414.69	940.409	1542.62	1423.98	1518.31	1112.56	1974.92	1542.17	1996.51
GTF2H3	1601.357	1244.6174	1680.3767	1649.15454	1850.7615	1406.38165	2443.23653	1901.4055	2229.04945
GTF2H4	544	331	534	647	564	397	1093	755	896
GTF2H5	1115.22	820.481	1102.45	1037.04	1091.89	841.98	1190.15	926.971	1110.67
GTF2I	21815.0312	16166.762	23679.439	21256.866	20824.755	16649.153	25659.603	19178.754	23480.769
GTF2IP1	4801.04	3302.225	5387.4	4879.94	5168.62	3837.47	5291.56	3856.11	4182.41
GTF2IRD1	15	14	21.5137	13	10	7	30.00000182097	8.000000748325	24.7418
GTF2IRD1P1	19.1036	14.0616	14.1008	19.6017	20.071	10.9823	51.8039	27.9998	52.1591
GTF2IRD2	156.469	93.137	167.209	153.393	132.028	145.002	494.985	370.303	342.323
GTF2IRD2B	270.684	195.928	249.082	257.451	270.842	175.932	779.589	449.86	670.189
GTF2IRD2P1	7.57412	11.8854	10.8269	9.65921	6.75139	8.82072	8.00765	4.37187	9.93646
GTF3A	7255	5447	7407	7006	7042	5959	9405	6838	7781
GTF3C1	4333	2863	4024	4234	3859	3035	5050	4175	4644
GTF3C2	3145.795	2116.816	2760.544	3065.682	2696.692	2104.889	3152.819	2713.913	3127.791
GTF3C3	2703.999	1792.003	3002.004	2864.003	2892.999	2320.996	4221.999	3082.997	3760
GTF3C4	1600	1058	1470	1491	1396	1100	1983	1466	1710
GTF3C5	2597.997	1722.996	2368.004	2628.003	2496.001	1856.004	4283	3143.001	3695
GTF3C6	1686	1141	1790	1637	1644	1382	1869	1383	1542
GTPBP1	1657.56	1094.32	1407	1641.79	1445.21	1138	2284.07	1934.24	2130.97
GTPBP10	2013.3059	1433.8311	2185.3294	1839.9511	2176.9006	1824.0928	3167.9994	2386.8094	2986.551
GTPBP2	1387	898	1237	1411	1204	981	2801	2079	2257
GTPBP3	1570.5768	992.9177	1367.3852	1542.4464	1288.0121	994.4471	1978.315	1695.447	1833.1133
GTPBP4	4203	3126	4476	4346	4308	3606	5121	3936	4533
GTPBP5	888.971	557.089	794.276	885.79	787.023	599.629	1088.16	825.496	902.934
GTPBP6	1124	728	973	1126	978	744	1257	963	1030
GTPBP8	245.0004	199.99976	270.0003	236	274	191.99984	342.9997	223.9996	304.0002
GTSE1	2047.28	1301.1	1798.98	1942.17	1709.24	1281.12	1840.09	1496.85	1704.37
GTSF1	2690	1780	2891	2820	2776	2440	4560	3550	3897
GTSF1L	43	34.99998	66	38	42	33	46	43	46
GUCA1A	1	0	0	3	8	0	1	20	2
GUCA1B	59.5915	52.8968	51.0065	50.0906	61.6508	44.724	60.1751	45.4094	55.2354
GUCA1C	0	0	0	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	0	0	0	0
GUCA2B	0	0	0	0	0	0	0	0	0
GUCD1	4410.98	2753.62	3851.21	3906.57	3565.48	2924.4	4980.01	4139.75	4664.11
GUCY1A2	1.000000463	3.00000242	0	0.999999736	1.99999943	0	1.99999766	2.99999688	2.00000133
GUCY1A3	0	0	0	0	0	0	0	0	0
GUCY1B2	0	0	1	0	0	0	1	0	0
GUCY1B3	0	0	0	0	0	0	0	0	0
GUCY2C	205	162	180	195	192	127	191	141	181
GUCY2D	1	0	0	2	2	0	1	0	0
GUCY2EP	2	0	0	0	0	0	0	0	0
GUCY2F	1	0	0	3	0	0	1	1	2
GUCY2GP	0	0	2	0	0	0	1	0	0
GUF1	2966.01	2157.6	3413.6	3011.64	3409.39	2570.07	4358.92	3440.41	3938.89
GUK1	1675.0005	1104	1446.999	1552.0006	1411	1046	2413.0023	1897.9969	2000.0001
GULP1	0	0	0	0	0	0	0	0	0
GUSB	2594	1780.44	2443.61	2685	2400.24	2033.75	4146.82	3363	3478
GUSBP1	1213.7394	751.464	1170.1037	1167.055	1068.7164	951.4379	2365.5742	1566.5212	1966.534
GUSBP10	0	0	0	0	0	0	0	0	0
GUSBP11	1365.88	808.536	1214.73	1430.55	1318.32	964.26	2649.5	1969.05	2322.9
GUSBP2	271.562	155.013	285.574	231.934	257.35	197.506	451.805	377.827	399.642
GUSBP3	393.226	239.421	304.245	382.062	429.94	252.913	439.504	433.488	528.758
GUSBP4	90.8556	38.4385	83.031	83.9488	73.1745	63.4083	222.78	179.219	168.669
GUSBP5	76	53	66	80	73	66	97	79	82
GUSBP9	266.75299	136.283	229.6068	241.2602	219.4114	173.98362	815.5453	721.2633	637.5114
GVINP1	120.625	118.971	154.591	170.012	126.19	110.985	162.589	124.858	120.188
GXYLT1	1218.454	879.134	1301.287	1386.235	1442.845	1078.966	1640.139	1268.922	1642.417
GXYLT2	1	0	1	0	0	0	3	7	8
GYG1	1626.9986	1144.9974	1630.0033	1728.0014	1654.0009	1179.0019	2095.9975	1569.0035	1934.0005
GYG2	4	7	8	2	8	6	6.02747	1	6
GYG2P1	64.727	48.3439	57.3412	36.4796	73.1806	34.6427	57.4161	23.3605	49.0467
GYLTL1B	20	11	12	30	13	20	29	37	18
GYPA	1.00482	4.00865	4.03117	4.01796	0	1.00485	2.00437	7.01707	7.03153
GYPB	0	0	0	0	0	0	0	0	0
GYPC	0	0	0	0	0	0	5	2	1
GYPE	12.1485	5.10373	13.23	17	12.0406	5.15106	12	9.16878	8
GYS1	1019.0003	726.0003	952	883.0001	814.9998	578.0002	948	647	826
GYS2	3	2	8	3	1	1	0	0	1
GZF1	1304	802	1245	1188	1230	947	1671.67	1224	1512
GZMA	0	0	0	0	0	0	0	0	0
GZMB	0	0	0	0	0	0	0	0	0
GZMH	0	0	0	0	0	0	0	0	0
GZMK	0	0	0	0	0	0	0	0	0
GZMM	15	7.9999989	21.00003	12	14	11	31	37	23
H19	0	0	0	0	0	0	0	0	0
H1F0	12	6	17	21	7	12	72	32	52
H1FNT	0	0	0	2	0	0	1	0	4
H1FOO	0	0	0	0	0	0	0	0	0
H1FX	999	690	942	1061	1032	803	1976	1584	1631
H1FX-AS1	95.0628	65.7448	94.9363	82.3013	106.681	76.9353	135.629	98.6633	163.038
H2AFB1	0	0	1.06922	2.12678	0.999999	1.5	2	1.5	2.142619
H2AFB2	1	0	2.86156	1.746432	0	0	0	0	0.714762
H2AFB3	0	0	1.06922	2.12678	0.999999	1.5	2	1.5	2.142619
H2AFJ	492	346.99992	506	506	482	320.0002	531.0002	470.0001	473
H2AFV	8961.7	6286.1138	8737.568	8615.8702	8827.723	6719.463	10346.9346	7959.662	9681.0882
H2AFX	1567.04	942.125	1228.12	1414	1270.13	974.018	1670	1468.28	1351
H2AFY	7656.004	5262.001	7616.001	7302.995	6974.004	5776.002	9236.993	6929.0081	8291.994
H2AFY2	15	8	8	13	10	6	12	6	18
H2AFZ	18012	13054	16832	17126	19110	13087	19482	14793	16920
H2BFM	10	12	16	9	19	16	25	21	19
H2BFWT	0	0	0	0	0	0	0	0	0
H2BFXP	45	27	40	47	54	43	58	56	65
H3F3A	1217.16	856.224	993.746	808.569	857.886	630.453	991.287	1356.89	813.668
H3F3AP4	10912.8	7687.78	11399.3	10935.4	11330.1	9042.55	13025.7	9620.11	12122.3
H3F3B	14261.8	10021.6	13842.9	14548.8	14955.7	10977.9	20917.7	15904.8	18317.8
H3F3C	9.16012	12.3629	8.14315	8.15603	12.2573	4.07048	15.2583	9.23138	13.2266
H6PD	1001.96	792.639	885.885	949.772	938.733	652.116	1905.1	1321.59	1522.33
HAAO	101	53	90	157	103	84	310	339	286
HABP2	0	0	0	0	1.000000118718	1.0000000748255	2.0000000586641	0	2.0000000797072
HABP4	236	181	233	234	233	207	541	376	491
HACE1	621	400	612	631	616	530	1013	681	924
HACL1	1250	829	1177	1365	1137	931	1794	1404	1506
HADH	2666.997	1725.9988	2414.9985	2575.0036	2239.0001	1809.9985	2713.995	2191.997	2544.0004
HADHA	5802	3938	5510	5593	5230	4146	5342	4369	5019
HADHB	2081	1389	2051	1989	1954	1574	2651	1954	2272
HAGH	68	59	77	77	61.99999	61	134	113	106
HAGHL	616	315	444	467	502	295	403	352	387
HAL	67	29	51.999992	46	36.00001	29	49	32	22.0000000130664
HAMP	3	1	0	2	1	1	0	0	4
HAND1	0	0	0	0	0	0	0	0	0
HAND2	0	0	0	0	0	0	0	0	0
HAO1	4	1	1	5	2	1	3	12	15
HAO2	0	0	0	2	0	0	0	0	0
HAP1	0	2.00000171	1.000000461	0	0	0	10.00000221	12.9999581	5.00000411
HAPLN1	0	0	1	0	1	0	0	0	0
HAPLN2	2	0	3	2	0	0	0	0	0
HAPLN3	1	2	0	3	2	1	16	23	17
HAPLN4	0	0	0	0	0	0	1	0	0
HAR1A	19	15	16.9161	19	16	6	31	16	28
HAR1B	8	2	1	5	6	0	6	0	5
HARBI1	150	143	123	144	152	99	214	122	195
HARS	2074.746	1410.41819543	2014.496564	2035.6829	1848.0793782	1475.5259	2211.687872	1586.0867	1966.53523
HARS2	960.252	676.58	936.503	1029.32	909.918	670.477	1204.31	834.917	1009.46
HAS1	0	1	1	0	2	1	1	2	3
HAS2	15.1583	9.14438	14.1988	10.1355	18.8148	9.1408	13.0765	6.00853	9.06875
HAS2-AS1	0	0	0	0	0	0	0	0	0
HAS3	93	45.9999507	64	55	63	53.000000340463	84	53	81.43545
HAT1	3146.0047	2133.99792	3274.0004	3406.0001	3621.9996	2845.9965	4083.0037	2977.997	3683.9987
HAUS1	1835.998	1339	1939.005	1786.0002	1873.995	1530	2334.002	1768.004	2112.003
HAUS2	4080.949	2823.971	4121.249	3861.888	4321.413	3207.079	5200.955	4005.762	4747.167
HAUS3	1053.72	752.752	1118.6	1031.52	1164.04	903.23	1434.14	1010.41	1219.23
HAUS4	1274.001	950.0003	1315.001	1309.0042	1201.9978	890.0001	1483.9972	1181.9985	1410.997
HAUS5	1517.94	911.433	1235.27	1539.11	1446.92	983.133	2338.7	2097.66	2302.44
HAUS6	3736	2875.9956	4290	4204	4709	3666	6070	4768	5487.0011
HAUS7	1103.9975	717.9996	978.0003	1060.0001	1031	753.9995	1333.9992	1003.0001	1175.9995
HAUS8	1084	712.0003	1039	1113.997	1011.9996	798	1296.005	951	1137.0009
HAVCR1	17.4128	10.4112	7.3595	8.3994	6.15847	6.154246	2.01256	3.01142	4.04725
HAVCR1P1	2	4	0	8	1	4	1	0	2
HAVCR2	67.4431	26.5495	36.7317	49.7135	36.6946	27.9863	56.9277	35.6658	54.4516
HAX1	2353.9975	1947.998	2380.9994	2809.999	2702.0013	2142.9997	6382.996	4912.997	5195.002
HBA1	1	0	1	0	1	0	0	2	0
HBA2	0	0	0	0	0	1	0	0	0
HBB	1	0	0	0	0	0	0	0	0
HBBP1	0	0	0	0	0	0	1	0	0
HBD	0	0	0	0	0	0	0	0	0
HBE1	0	0	0	0	0	0	0	0	0
HBEGF	190	102	122	127	131	111	97	77	136
HBG1	0	0	0	0	0	0	0	0	0.0588164
HBG2	0	0	0	0	0	0	0	0	0.941184
HBM	0	0	2	1	0	0	1	3	0
HBP1	1034.39	639.697	988.581	1071.679	1071.117	873.798	2155.3	1526.27	1996.671
HBQ1	1	0	1	1	1	1	1	0	2
HBS1L	4479.8915	3028.3218	4801.2218	4434.8479	4855.049	3862.526	6535.567	4996.3627	5965.2246
HBZ	0	0	0	0	0	0	0	0	0
HCAR1	144.809	70.7455	100.487	141.029	95.8756	77.4023	108.313	57.1676	102.818
HCAR2	0	0	0	1	0	0	0	0	0
HCAR3	0	3	0	0	0	1	9	0	0
HCCS	553.0002	411.0001	554	610.9995	570.9997	485	690.9998	499	560
HCFC1	2630	1506	2105	2632	2334	1729	2998	2742	3129
HCFC1R1	180.9101	98.9977	155.0519	169.3614	153.258	113.9319	202.4261	176.10060005209	183.3477
HCFC2	289	135	284	204	239	205	389	304	352
HCG11	796.149	547.78	754.353	668.666	764.182	518.119	693.412	588.671	642.154
HCG17	30	9	14	25	12	11	16	13	25
HCG18	1779.103	1307.061	1894.424	1789.514	1736.683	1358.836	2182.397	1731.707	1959.215
HCG22	5.06917	2.00093	0	5.01936	1.01585	0	1.00123	0	0
HCG23	2	3	8	5	4	5	2	0	3
HCG25	51.4868	33.236	43.6185	49.6936	48.3783	42.206	103.367	46.6839	84.3245
HCG26	5	0	0	1	0	3	2	4	1
HCG27	244	142	208	155	221	128	191	117	143
HCG4	22	19	27	36	25	16	28	27	36
HCG4B	16	15	15	18	17	9	16	12	22
HCG9	24.0087	7.14414	23.9474	14.426	21.032	17.9982	20.1781	13.2703	12.948
HCK	0	0	2	10.000002	6	2	93	67	72
HCLS1	4017	2849	4112	4074	3577	3066	5585	4700	4597
HCN1	47.9145	32.9577	40.5867	39.2983	44.0562	33.6028	31.5859	18.5384	38.0266
HCN2	37.0714	16.2145	27	39.1461	30	25	72.168	53	52.2792
HCN3	180.9996	131.3275	174.1671	242.7738	184.3603	105.7894	347.277	277.0003	325.4256
HCN4	0	0	0	0	0	0	2	1	1
HCP5	4	1	2	0	5	5	13	8	6
HCRT	2	4	1	7	4	2	9	6	5
HCRTR1	24	19	9	12	16	6	8	2	8
HCRTR2	0	0	0	0	0	0	0	0	0
HCST	116	85	89	119	76	64	124	134.9995	136.9999
HDAC1	12298	8661	12015	12200	11386	8734	14119	10249	12291
HDAC10	588	301	449	670	522	343	945	827	885
HDAC11	10	8	9	11	5	4	24.99996	24	47
HDAC2	3949.3995	2816.8367	4258.965	4026.6757	4208.8623	3249.5417	4630.6963	3455.1818	4160.658
HDAC3	2585	1855	2514	2430	2197	1780	2904	2356	2470
HDAC4	111.598	56.7244	92.2252	94.9403	86.7288	57.1037	133.019	171.737	148.12
HDAC5	539	356	458	689	531	431.0004	1599.997	1377	1504
HDAC6	1128	746	1144	1347	1127	912	2197	1748	1835
HDAC7	1244	766	1020	1075	947	686	1090.001	899	988
HDAC8	448.0006	296.0004	442.99991	417.99959	481.0001	339.9999734099	607.00007	535.9995	607.0006
HDAC9	3224.0011	2086.0026	3289.0023	3092.9988	3277.0011	2672.0007	5140.99737	4261.002	4921.0067
HDC	0	0	0	0	0	0	0	0	1
HDDC2	2033	1370	2091	2070	2012	1563	2691	1821	2474
HDDC3	431	315	361	424	343	309	576	400	450
HDGF	10335.995	7415.996	10403.99	9651.004	8979.995	7319.007	9738.995	7509.005	8494.003
HDGFL1	0	0	0	0	0	0	0	0	0
HDGFRP2	2391.997	1576.996	2542.003	2687.995	2161.002	1950.003	3460.003	2736.999	2892.004
HDGFRP3	2	1	2	7	4	7	51	21	45
HDHD1	357.0009	190.0005	405.0001	320.0001	332.9999	263.0004	313.9998515509	223.9997	284.9995
HDHD2	1170	954	1354	1252	1323	1130	1926	1413	1670
HDHD3	593	382	470	525	500	340	566	424	586
HDLBP	9350.004	6503.9992	9172.995	9403.9972	8269.7659	6954.9965	12899.0222	9887.9965	11240.996
HDX	0	0	1	0	0	0	0	6.99999848	1.000000158
HEATR1	8620.09	5669.34	8474.55	8444.89	8740.29	6901.66	11378	8478.75	10016.5
HEATR2	1170	726	985.8370645606	1063.9	989.7769	752.8021	966.812	860.787	949
HEATR3	1902.05	1274.39	1976.77	1859.05	1864.23	1474.81	2217.46	1666.97	1932.02
HEATR4	75	29.99999	52.00004	53.99997	54.00003	46	78.00002	73	74
HEATR5A	1064.79	776.939	1029.33	1116.28	1091.51	852.908	1401.52	1055.63	1247.97
HEATR5B	3923	2512	3900	3850	3754	2959	5374	3913	4782
HEATR6	713	495	683	705	699	518	988	804	951
HEATR8-TTC4	13.20484	15.1316	24.6089	18.19489	14.90227	5.97244	23.6971	6.02126	22.55559
HEBP1	1	0	0	4	2	0	4	0	1
HEBP2	1125	701	1086	1124	1164	909	1718	1411	1547
HECA	1842.33	1303.46	2019.53	1922.04	2056.42	1499.51	3211.72	2573.03	3253.9
HECTD1	10460	7289	10679	10360	10309	8082	11532	8655	10397
HECTD2	49	22.99996	55	48	61	51	107	78	92
HECTD3	613	436	549	633	608	438	981	993	952
HECTD4	3358	2167	3140	3187	2900	2353	5031	4054	4799
HECW1	0	0	0	0	0	0	0	0	0
HECW2	25	26	50	48	49	35	55	25	48
HEG1	4	6	4	4	11	8	18	17	27
HEIH	543.28	403.31	511.249	567.368	508.284	394.907	904.781	770.021	810.695
HELB	353.556	189.7	344.7	335.418	332.652	268.58	494.311	278.751	376.903
HELLS	2478	1826	2797	2564	2952	2303	4050	3149	3517
HELQ	388	296	455	396	428	318	570	447	533
HELT	0	0	0	0	0	0	1	0	0
HELZ	4225.39	2753.8	4357.97	4211.57	4146.86	3558.47	5619.55	4366.13	5459.98
HELZ2	181.89331	88.7843	126.781	147.8478	130.5458	105.0595	260.7081	207.9745	191.861
HEMGN	22.846400109812	15.898400153432	23.396500119988	19.90210011598	36.389500869206	24.623100351685	22.010700112283	12.681800107622	23.064000166183
HEMK1	385.875	274	399	383	381	313	667.844	551	535
HENMT1	1045	724	1080	1065	1049	797	1087	822	928
HEPACAM	9.01773	24.2339	14.0262	7.01468	12.0264	6.00152	10.0107	6.00778	14.0346
HEPACAM2	2.999997	0.9999997	0	4	2.000004	3	15.000011	10	6.999996
HEPH	0	0	0	0	0	0	2	2	0
HEPHL1	0	0	2	1	7	3	1	0	3
HEPN1	0	0	0	0	0	0	0	0	0
HERC1	6983	4612	7047	6801	6475	5333	9495	7296	8477
HERC2	6741.79	4374.95	6491.73	6962.15	6011.9	4619.46	8838.88	7406.63	8034.46
HERC2P10	4.01859	0	9	6	3	2	21.1414	15	11
HERC2P2	3309.64	2238.36	3215.79	3405.71	3433.57	2580.08	6497.16	4811.01	5537.46
HERC2P3	381.333	248.871	333.858	324.603	346.56	258.36	495.671	433.591	526.706
HERC2P4	136.049	112.768	144.861	112.617	224.882	114.831	128.284	120.342	103.506
HERC2P7	139.732	74.8543	112.189	106.85	134.811	93.8318	133.475	63.7993	105.332
