OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
ADH4	233.813	116.867	185.433	197.171	193.385	152.94	192.113	191.706	223.02
ADH5	3760	2580	3495	3564	3382	2666	4290	3083	3583
ADH6	2	2	3	7	4	2	5	0	1
ADH7	0	0	0	1	0	0	0	0	0
ADHFE1	22	13	25	21	20	23	40	44	32
ADI1	1726	1296	1792	1928	1874	1414	2694	1942	2312
ADIG	2	0	0	0	1	0	2	0	3
ADIPOQ	114.409	80.2758	93.8628	96.3908	83.7294	66.6677	81.3026	65.3527	96.1613
ADIPOQ-AS1	207.398	118.714	225.119	190.774	163.529	145.515	169.477	118.801	176.927
ADIPOR1	1831.004	1363.996	1989.998	1972.003	1779.995	1599.005	3455.003	2650.9993	3064.996
ADIPOR2	4098	2964	3868	3906	3663	2873	4882	3608	4262
ADIRF	17.9827	23	10	18.7155	13.3843	15.3096	28	28.6289	33.3377
