TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
EIF1AX	3191	3292	3562	1991	1894	2432	1581	1525	1030
EIF1AY	1598	1599	1757	1118	1075	1400	959	857	623
EIF1B	657	780	810	647	621	916	696	646	445
EIF1B-AS1	2	3	8	3	5	3	4	5	5
EIF2A	2347.72	2147.17	2477.7	1583.21	1571.08	2041.51	1539.71	1387.62	1017.78
EIF2AK1	3088.365	3041.335	3619.226	2096.639	2171.867	2859.609	2104.841	1925.119	1386.3863
EIF2AK2	1305.558	1386.088	1607.391	952.8935	970.23840197384	1387.326	915.085	806.7071	613.6237
EIF2AK3	523	531	559	494	614	852	759	722	546
EIF2AK4	1202.73	1229.78	1328.03	926.274	926.128	1348.93	981.937	839.926	577.805
EIF2B1	1724	1813	1916	1122	1170	1541	1028	931	636
EIF2B2	541	576	652	367	363	486	359	285	208
EIF2B3	813.0001	830	912.0001	545.00007	583.9998	710.99965	463.00034	383	306.0005
EIF2B4	557.000000399664	616	635.0000127109	457.00000803541	455.000000065583	659.0003	486.0005	441.99992	296.99988
EIF2B5	1435	1498	1724	998	1055	1373	962	801	599
EIF2D	596.000208	647	691	443	518	674	501	399	295
EIF2S1	2762.97	2888.53	3234.86	1620.85	1574.45	2068.03	1399.73	1196.2	837.303
EIF2S2	2051	2145	2315	1453	1503	2152	1477	1346	943
EIF2S3	8902.02	9636.46	10906.2	7656.08	8118.65	10325.5	8202.76	7296.14	5359.42
EIF3A	6172	6734	7307	4713	4806	6729	4422	4048	2843
EIF3B	8162	8850	9836	5410	5331	7004	4474	3970	2817
EIF3C	9765.84432	9891.384654	10820.183336	6667.0076722	6773.56348	9063.64927	6284.9680362	5677.245516	4260.96407748
EIF3CL	211.15717	111.62029	196.81448	117.9953485	67.436797	154.35522	67.03359948	87.75457434	79.03738219
EIF3D	4513	4472	5089	3169	3176	4153	2794	2590	1940
EIF3E	5627	5559	6363	4285	4549	5836	4509	4031	2918
EIF3F	3611	3495	3894	2683	2833	3776	2881	2404	1959
EIF3G	1968.14	2288.55	2416.79	1750.99	1764.6	2450.88	1570.22	1369.44	988.463
EIF3H	3531	3402	3862	2554	2614	3687	2700	2456	1693
EIF3I	1510.89	1686.23	1932.9	1182.96	1206.87	1532.54	1026.16	1000.56	697.319
EIF3IP1	0	0	0	0	0	0	0	0	0
EIF3J	1978	2069.76	2335.76	1310	1227	1658	1006	949	617
EIF3K	3644	3565	3941	2389	2508	3157	2290	2010	1457
EIF3L	7209	7118	8232	5683	5890.9985	7501	5590	5072	3650
EIF3M	2920.27	2854.45	3186.41	1874.66	1833.66	2298.51	1699.77	1522.77	1063.8
EIF4A1	15302.3557	15214.6063	16886.63	9053.9976	8614.2251	11386.549	6959.7296	6106.2564	4545.7166
EIF4A2	8534	8902	9833	7095	7101	9081	7417	6905	4763
EIF4A3	2741	2947	3298	2100	2246	2911	2198	1961	1370
EIF4B	16977	17344	19697	14701	15321	19698	15825	14400	10393
EIF4E	2452.9553	2434.5197	2742.6324	1547.7248	1520.602	1968.008	1309.25700002221	1193.377937	851.0131
EIF4E1B	0	1	1	1	2	2	1	1	1
EIF4E2	840	982	1145	624	612	893	531	488	348
EIF4E3	43	51	49	29	32	49	36	36	19
EIF4EBP1	317	364	435	359	376	518	363	352	252
EIF4EBP2	3822.48	4149.95	4573.3	2702.49	2809.24	3794.68	2746.31	2311.26	1760.21
EIF4EBP3	17.6304	29.1696	21.2209	29.6315	18.94	42.3816	26.961	36.7445	18.4523
EIF4ENIF1	989.9995	969.9993	1087.9997	647	690.0003	951.9998	687	640.0003	503.9996
EIF4G1	13557.9986000121	14878.9906007783	16673.9595	8844.9941	8712.0030138578	11697.9997	7473.00540007835	6654.99980010749	4966.0077
EIF4G2	20634.02	21751.02	24685.04	14008.955	13935.95	18350.97	12476.971	10879.994	8139.002
EIF4G3	2516.996	2622.907	2950.811	1909.467	1968.896	2894.812	2056.888	1812.679	1308.884
EIF4H	6507.996	7779.002	8809.002	5244.004	5429.999	6733.001	4727.996	4301.002	3185.995
EIF5	6763.998	7002.003	7776.999	4252.998	4302.995	5587.996	3689	3343.995	2388.996
EIF5A	11468.218	13049.087	14447.83	7700.796	7140.598	9424.619	5615.739	5015.122	3693.962
EIF5A2	138.138	150.817	208.312	128.116	147.559	163.678	143.426	137.473	106.628
EIF5AL1	75.7799	75.9297	87.181	44.204	49.3989	90.381	48.2655	34.8781	40.0421
EIF5B	3508	3844	4048	2393	2433	3648	1961	1795	1326
EIF6	1580.0018	1609.0029	1909.0028	1197.9972	1142.00014	1482.00495	1005.00068	872.99963	690.00047
ELAC1	112	123	143	110	114	131	117	97	68
ELAC2	3128.004	3192.997	3704.9987	1918.0019	1919.9956	2418.0032	1586.996	1388.9968	1059.9999
ELANE	0	0	0	0	0	0	1	0	0
ELAVL1	2892	2936	3292	1907	1903	2538	1726	1534	1202
ELAVL2	0	0	0	0	0	0	0	0	0
ELAVL3	28.1974	35.4564	39.4746	29.8483	28.946	42.9793	33.5113	32.1209	21.7921
ELAVL4	0	0	0	0	0	0	0	0	0
ELF1	2264	2145.9961	2362.9959	1792.0032	1864.0018	2753.0035	2296.9961	2064.0018	1441
ELF2	819.9995	810.000300114697	950.00036	677.999682497	687.9999	935.9994	789.0005	725.9997111	534.9991
ELF3	40	41	43	45	46.00004	81	67	64	46
ELF4	1502	1549	1768	1058	1077	1439	1028	909	684
ELF5	0	4.01164	4.00434	1.00216	1.00082	8.01623	3.00135	2.00505	1.00274
ELFN1	5.55949	6.83923	5.5645	2.01388	3.00395	8.33231	4.66045	6.83736	2.8471
ELFN2	15	24.001	18.0013	18	25.0016	52.0274	71.0685	67	63.0071
ELK1	827	1046.056	1124	718	789	1080	711	607	461.9997
ELK2AP	4057	4123.94	4865	2386	2425	3259	2324	2076	1481
ELK3	300	334	343	274	244	400	362	314	234
ELK4	2488.4486	2759.8507	3102.803	2338.058	2416.1654	3548.561	2646.032	2305.122	1646.394
ELL	1688	1919	2161	1657	1762	2446	2041	1783	1409
ELL2	1691	1763	2025	1194	1269	1602	1214	1087	774
ELL3	639.704	658.556	743.893	372.474	402.554	479.164	304.645	256.791	169.159
ELMO1	1760.0716	1753.2011	2032.65223	1421.30136	1562.87109	2184.0312	1621.21759	1415.9987	1125.8331
ELMO2	768.0002	738	852.0001	576.0004	644.9996	872	718	673.9999	487.9998
ELMO3	122	160	167	129	130	149	138	113	72
ELMOD1	42.47999697	57.21566663	59.5737861	35.19745526	49.96870058	101.8289384	76.1484592	41.19081568	42.50702818
ELMOD2	659	605	728	509	513	709	539	497	339
ELMOD3	149.964	221.7369	214.22628	163.58456	194.9023	260.9116	209.3058	165.6735	143.1504
ELMSAN1	5096.35	5902.034	6676.958	4712.976	5127.68	7390.24	5718.413	5127.609	3817.801
ELN	1.0000000743244	1.000000451851	0	0	1	0.999999613098	4.0000046387505	0	1.000000463833
ELOF1	450.216	531.29	565.29	389.625	386.894	549.261	341.672	341.718	212.101
ELOVL1	1187	1221.0006	1389.999	808.00024	817.9999	971.99968	675.00041	656.99985	432.99955
ELOVL2	302	310	299	213	199	256	219	177	139
ELOVL2-AS1	44.628	41.1709	51.1951	26.0679	37.17	77.2051	51.1953	37.3437	34.2
ELOVL3	2	3	0	1	2	10	8	15	3
ELOVL4	1	0	1	0	2	0	0	1	0
ELOVL5	2534.00494	2522.9977	2991.0039	1995.9962	2069.9981	2719.9984	1922.9961	1913.0006	1270.99648
ELOVL6	152	158.0003	157.9995	83	83	87	53	44	25.99997
ELOVL7	1287.455	1391.954	1502.64	1055.314	1162.609	1460.885	1275.258	1144.089	830.105
ELP2	1713.00330297774	1753.0035	2008.9966264843	1278.000449	1300	1654.0022	1389.00040450361	1154.999723	805.0003
ELP3	1160.06	1160.02	1353.1	951.109	967.374	1284.38	947.634	896.93	658.262
ELP4	195	224	236	170	190	270	218	216	131
ELP5	457.9999	558.9998	635.9993	384.0009	449	548.9997	368.9997	330.9999	222
ELP6	348	383	446	286	309	399	301	218	176
ELSPBP1	0	0	0	0	1	0	0	0	0
ELTD1	0	0	0	0	0	0	0	0	0
EMB	1463.91	1538	1751.1	1174.3	1248.67	1561.61	1149.35	1074.36	722.267
EMBP1	15.0917	15.9965	14.9029	11.7039	18.3264	24.3948	25.6454	22.64	11.7329
EMC1	1699.1	2006.4084	2260.7586	1437.347	1435.3242	2022.413	1385.3173	1199.859	910.056
EMC10	3107.759	3802.576	4231.494	2699.977	2877.15	3852.049	2780.285	2469.17	1829.406
EMC2	467	506	542	417	429	585	468	424	298
EMC3	393	394	434	280	294	408	317	276	196
EMC4	565.167	718.092	754.065	485.508	465.787	589.842	391.851	291.073	271.663
EMC6	397.035	449.531	518.281	307.6552	305.316	413.456	230.2586	208.2601	156.1423
EMC7	479	533	598	363	325	467	360	246	197
EMC8	748.9999	741.0002	805.0002	522	485.9998	618	419.9999	383.9999	285.9998
EMC9	187	228	259	127	153	199	122	99	72
EMCN	16.482126284	52.93449086	46.33257373	30.904929228	40.70987928	58.95096072	49.37776042	37.42196712	22.95915675
EMCN-IT3	0	0	0	0	0	0	0	0	0
EMD	608	673	663	456	458	682	459	366	301
EME1	221.8073	233.4903	285.9857	155.4389	190.3415	267.0028	199.9848	190.1437	142.7406
EME2	54	58	69	46	49	102	87	51	55
EMG1	517	572	586	388	367	535	349	314	216
EMID1	3.999996	0.9999997	6	1.0000004	2.999995	9	4.000005	2.0000041	5.000003
EMILIN1	8	13	10	13	17	21	20	27	12
EMILIN2	1883	2263	2346	2018	2234	2973	2571	2423	1732
EMILIN3	0	1.05461	2.12089	4.07881	4.15931	0	3.13952	4.20698	6.29981
EML1	14	17	26	21	22	26.00004121	29	21	12.0000146471
EML2	664.0005	746.5187	973.2169	753.4884	773.9999	1184.9085	860.9129	732.6878	519.1028
EML3	665	920	1089	621	633	886	642	573	369
EML4	3024.0003	3134.9998	3470.9953	2007.0008	1971.9975	2604.0047	1817.9978	1555.0015	1220.0017
EML5	309	290	338	241	225	337	297	268	184
EML6	79	83	93	80	101	149	129	117	116
EMP1	3	13	8	6	9	7	13	7	3
EMP2	324.129	398.727	489.919	334.089	377.983	545.297	444.74	360.929	300.815
EMP3	701	702	894	581	578	780	416	344	272
EMR1	0	2	0	1	1	1	2	1	0
EMR2	64.41	58.8704	98.3044000407362	78.1159	107.295	116.071	106.059	75.82476479	62.3295
EMR3	1	0	3	2	5	1	0	3	1
EMR4P	13.6595	14.4696	7.76042	14.5935	11.4648	16.873	17.1131	11.2438	3.45748
EMX1	0	0	0	3	2	3	4	5	1
EMX2	12.3106	30.5644	30.6457	17.39	31.0255	37.1611	26.558	29.0749	20.6551
EMX2OS	122.633	223.118	282.658	146.556	173.222	292.386	193.024	153.366	127.794
EN1	26.5193	107.543	28.1599	48.1188	106.606	54.9722	76.0676	49.5107	58.3414
EN2	0	0	3	0	1	3	2	1	2
ENAH	819.6207	926.5533	1100.1439	590.5837	546.369	746.5596	460.961	399.169	298.7876
ENAM	1	5	4	5	6	11	8	6	5
ENC1	232.0004	287.9999	321.9992	272.0009	279	352.9998	309.0005	293.0004	205.99996
ENDOD1	171	146	151	130	116	117	84	82	39
ENDOG	204.587	237.858	285.607	191.283	228.729	300.454	214.698	195.03	108.965
ENDOU	12	16	22.00000150558	8	20	23	14	11	11
ENDOV	1280.001	1589	1662.997	887	839	1130.999	658.0001	552	406.999276
ENG	26	55	66	36	35.00000999557	67	75	52	38
ENGASE	154	230	248	226	280	363	406	330	257
ENHO	5	6	5	1	5	6	8	5	5
ENKD1	118	163	177	154	162	217	214	218	164
ENKUR	0	0	0	0	0	0	0	0	0
ENO1	25607.974	28425.965	31743.96	17355.983	16626.006	21677.985	13710.969	12321.992	9213.005
ENO1-AS1	11	2	2	1.00042	2	6	2	1	4
ENO2	305	399	393	338	320	469.038	429.027	347	263
ENO3	464.00053	526	624.99975	530.0006	594.0003	849.99987	881.99999	772	566
ENO4	2	0	0	0	0	4	0	1	1
ENOPH1	1016	1098	1137	686	625	835	647	584	384
ENOSF1	1632.195	1809.279	2022.391	1242.469	1422.889	1869.738	1342.384	1233.997	770.774
ENOX1	17.012343119	28.55566482	19.00453025	12.092713855	13.02310877	18.01221819	20.22854676	16.00897778	8.077001546
ENOX2	495.108	433.807	465.43	309.4795	294.1048	376.64	245.798	207.6656	170.593
ENPEP	0	0	0	0	0	0	0	0	0
ENPP1	195.846	215.446	217.477	131.07	143.091	192.551	129.99	102.937	70.4594
ENPP2	397.9997	335.9999	435.0004	315.9997	343.9996	445.0001	265.00019	208.99961	172.0004
ENPP3	6	1	8	5	2	4	2	2	1
ENPP4	931	960	1028	759	786	1005	746	642	413
ENPP5	35	28.0181	29.0163	16	15	36.0349	25.0243	18.0273	17.0498
ENPP6	41.8342	65.1788	69.1182	48.1077	52.2084	97.785	64.0192	59.2444	30.2087
ENPP7	17	20	15	13	13	18	14	7	7
ENSA	2060.00174183617	2407.99614	2592.99671	1653.00400002155	1652.00142134	2494.00010008749	1617.99790007527	1469.998848875	1089.00042187
ENTHD1	0	0	0	0	0	0	0	0	0
ENTHD2	360	463	500	442	489	726	629	601	416
ENTPD1	6977.7074	7530.6206	8447.22290041543	5202.0273015489	5374.573	7863.0915	5124.1235	4406.6526	3225.4778
ENTPD2	0	0	0	0	0	0	3	6	2
ENTPD3	5	6	2	6	4	15	10	9	5
ENTPD3-AS1	58.6256	113.396	116.949	80.3657	83.7689	134.079	100.898	76.7219	69.584
ENTPD4	1017.572	1208.266	1319.742	1076.763	1028.191	1647.282	1255.08	1140.101	811.927
ENTPD5	125	136	136	90	125	139	113	98	68
ENTPD6	592	616.9998	780	517.9998	504	729	493.0001	450.0002	330.0002
ENTPD7	422.651	454.31	523.67	353.957	422.525	509.357	391.428	355.4	259.283
ENTPD8	0	0	1	3	4	7	9	4	9
ENY2	967.0002	957.0005	1120.0002	649.99956	676.0002	927.0003	647.99949	592.0003	417.9995
EOGT	201.032	239.993	271.562	196.802	238.482	358.084	244.664	261.299	159.556
EOMES	22	34	25	33	23	40	44	21	27
EP300	5774.14	5875.06	6502.91	4349.23	4594.76	7131.68	4720.48	4124.84	3134.32
EP400	3215	3374	3586.16	2325	2556	3791	2690.04	2310.13	1736.1
EP400NL	70.467	100.313	83.2347	78.3615	89.1488	116.615	97.1162	79.3168	68.3651
EPAS1	7	5	5	16	20	43	76	73	66
EPB41	1430.44610001394	1663.6236	1918.7118	1207.2732	1253.2223	1772.6442	1373.0814	1214.9605	889.6966
EPB41L1	251.9999	278	281.9997	241.0006	221	367.9998	271.9999	238	168
EPB41L2	0	0	0	0	0	0	0	0	0
EPB41L3	0	0	0	0	0	0	0	0	0
EPB41L4A	275.928	317.165	322.939	194.969	186.339	253.854	148.796	147.357	79.6322
EPB41L4A-AS1	337	405	444	310	328	439	314	323	239
EPB41L4B	14.00002	21.99997	22	9	10	15.99998	30	20.00001	10
EPB41L5	720.0001	734.0001	829.99936506	599.9999247	672.0007	886.999	851	788.0008	579.9998
EPB42	0	3	2	4	2	2	3	1	0
EPB49	0.9999996	0	1.0000002	0	2	2.0000034	0	2.0000000214605	2
EPC1	964	991	1092	862	976	1376	1064	963	728.9994
EPC2	807	694	831	666	659	994	782	679	520
EPCAM	2	3	0	0	0	1	1	1	1
EPDR1	169.9999	166.99993	228.0004	151.0002	144.00009	211.0003	165	123.9997	107.99996
EPG5	1479.64	1636.45	1617.47	1516.25	1612.86	2358.95	2121.41	1886.08	1409.44
EPGN	24.2703	28.8363	40.6719	27.3359	23.3831	44.335	31.0309	19.3189	21.1409
EPHA1	5	11	16	10	9	15	4	2	1
EPHA1-AS1	53.3451	91.7352	84.8734	64.2361	69.4539	103.474	58.7284	74.5782	51.7542
EPHA10	31.2386	45.9733	51.8078	42.5042	28.9163	72.0884	44.0319	40.0128	30.65
EPHA2	3	2	1	25	37	65	62	52	39
EPHA3	4.27457	5.35236	10.7529	3.21858	7.24826	19.1221	7.55551	6.38559	4.41402
EPHA4	5663	5806	6419	4334	4513	6185	4554	4195	3067
EPHA5	3.00000138	3.999998216	2.000001436	5.000004953	4.999996778	4.000003149	3.000004774	3.999999588	0
EPHA6	0	0	0	0	0	1	0	0	0
EPHA7	0	0	0	0	1	1	0	0	0
EPHA8	0	0	0	2	1	3	3	5	1
EPHB1	1321	1342	1585	1113	1167	1725	1565	1457	1031
EPHB2	23	23	27	12	15	25.99999	7	8	11
EPHB3	6.027	17.2411	11.0769	10.088	11.0281	27.1726	13.0205	16.0448	14.0294
EPHB4	11	13	20	18	21	38	30	21	25
EPHB6	7	14	11	12	13	31	44	34	24
EPHX1	26	39	33	34	44	62	67	46	37
EPHX2	118	132.0001549	151.0000131461	111	136.0003	176	128.0004	107.00001	96
EPHX3	18.00003	12	10	11	6	12	11	11	6
EPHX4	0	0	0	0	0	0	0	0	0
EPM2A	161	141	191	110	128	152	129	105	91.99997
EPM2AIP1	1925.18	1958.28	2304.15	1801.63	1887.87	2424.07	2110.64	2012.28	1342.76
EPN1	5167.001	6630.992	7548.994	4113.005	4191.998	5613.002	3580.999	3273.002	2419
EPN2	447.9999	545	528	380.9995	421	609.9997	509.0001	485	314.0001
EPN2-AS1	35.5329	40.7424	53.4382	39.8802	35.4591	64.1283	48.0399	39.2385	27.3525
EPN2-IT1	4	6	8	5	8	11	7	8	3
EPN3	4	2	3	9	10	19	16	18	19
EPO	1	1	1	1	0	1	0	3	3
EPOR	59	52	69	69	60	100.00005	77	76	48
EPPIN	189.259	233.676	202.523	157.795	161.557	257.586	197.833	184.192	132.643
EPPIN-WFDC6	0	0	0	0	1	0	0	0	0
EPPK1	130	141.048	186	214.087	264.208	457.228	545	472	343
EPRS	4457	4504	5062	3537	3525	4645	3540	3163	2251
EPS15	2028.0006	2075.99676	2266.0008	1528.00399	1492.999	1954.0041	1537.0006	1404.99728	983
EPS15L1	1488.9999	1597.99953171	1804.9987	1260.99977	1288.0008	2077	1437.0006	1278.0012	964.99988
EPS8	443	421	421	293	314	458	259	262	221
EPS8L1	25.99997	29.99997	41.99996	13	22.99999	51	37	32	23.99997
EPS8L2	119	111	122	512	668	1127	1278	1072	846
EPS8L3	0	0	0	0	0	0	0	0	0
EPSTI1	61	66	77	36	37	54.00001	50	41	29.00003
EPT1	2151.94	2434.88	2560.55	1516.53	1479.13	1740.62	1112.54	1048.4	747.033
EPX	7	7	7	7	5	10	3	6	2
EPYC	0	0	0	0	0	0	0	0	0
EQTN	0	0	0	0	0	1	0	0	0
ERAL1	1068	1047	1155	693	735	892	625	598	416
ERAP1	2426.362	2532.066	2865.5864	1981.997	2182.7978	3003.712	2324.501	1993.1587	1472.4804
ERAP2	231.8237	243.3376	281.0545	210.7308	243.9787	323.881	289.842	263.9319	206.114
ERAS	9	7	10	9	8	8	3	2	3
ERBB2	133.00048	142.9999	175	104	127.99981	144.99999	93	88.99998	65
ERBB2IP	3635.0088	3656	3981.0034	2713.9988	2955.0024	4020.9961	3179.001	2824.996	2094
ERBB3	53.5735	70.4694	66.7437	62.4808	83.579	117.6156	108.21365	85.14358	59.87781
ERBB4	0	0.9999995	0	0	1.9999988	1.9999974	0.9999997	0	0
ERC1	1162.2872	1228.8735	1302.969	993.049266	1051.4006	1595.6172	1280.66125	1110.927401256	874.629597
ERC2	3	2	1	0	2	3	3	0	0
ERC2-IT1	39.4092	53.4402	79.8351	44.893	39.7319	65.9548	52.0897	35.9626	24.0827
ERCC1	1565.096	1663.697	1854.115	1217.302	1330.048	1827.887	1302.423	1196.729	937.9704
ERCC2	1393.0006	1516.6986	1699.8886	1140.8941	1192.9029	1566.877	1090.0002	1012.8904	680.8747
ERCC3	1167	1205	1294	816	908	1208	956	833	634
ERCC4	613.024	667.46	791.242	505.918	575.217	725.862	521.3	416.864	317.563
ERCC5	2017.71	2204.6	2384.49	1658.97	1792.8	2509.86	2095.38	1938.85	1407
ERCC6	565.965	646.053	693.989	613.87	678.806	991.738	777.19	691.093	533.228
ERCC6L	686	664	777	393	404	510	344	284	211
ERCC6L2	922.388	948.64	1059.3	595.464	517.211	780.097	561.326	451.932	310.795
ERCC8	177	209	223	129	112	171	136	105	75
EREG	40.9066	50.0558	61.4262	49.1005	61.4582	79.6933	56.2873	45.7746	32.8217
ERF	1183	1497	1713	934	921	1237	776	713	495
ERG	0	0	0	0	0	0	0	0	0
ERGIC1	799	827	929	523	478	676	422	403	293
ERGIC2	461	454	497	364	363	484	353	334	262
ERGIC3	1203.9997	1306.9983	1426.9999	1117.0032	1153.9978	1534.0034	1168.9962	1121.9981	789
ERH	2488	2607	2894	1681	1726	2266	1662	1395	1052
ERI1	815.116	906.598	990.427	662.436	708.921	1015.43	696.598	668.831	431.58
ERI2	410.6028	463.2538	521.359	349.1123	321.3356	457.5504	344.0431	326.7052	231.5798
ERI3	577	652	757	407	459	581	442	352	279
ERICH1	377	443	471	315	308	527	335	295	201
ERICH1-AS1	0	0	0	0	0	0	0	0	0
ERLEC1	484.9995	458.0002	564	406.0005	478.0003	581.99969	471.9998	442.9995	328
ERLIN1	654.0002	650	757.9996	419	426.9998	544.0001	402.0004	419.9998	259.9999
ERLIN2	801.8998	894.3677	1028.0654	701.4459	691.1158	915.4679	644.248	546.7747	363.9394
ERMAP	49	60	88	67	66	81.12766392	67	53	28
ERMN	52	64	65	46	35.00005	61	30.00005	31	25
ERMP1	605	667	693	558	563	815	653	590	438
ERN1	170	155	184	272	350	592	678	598	423
ERN2	81.1715	141.179	153.247	97.7619	105.564	165.524	100.639	113.677	62.9483
ERO1L	695.014	729.609	761.342	440.867	417.901	521.668	402.906	378.678	269.688
ERO1LB	143	166	155	151	201	286	276	195	154
ERP27	3.07207	10.1751	13	12.3734	6.18841	16.2992	6	6.16397	5.2194
ERP29	1164.0044	1658.996	1936.9963	1234.998	1279.998	1774.996	1292.9963	1247.998	921.9996
ERP44	938	892	1094	652	726	1043	838	696	537
ERRFI1	147	150	178	136	122	201	194	140	92
ERV3-1	213.219	159.995	205.015	150.972	174.188	294.09	224.877	225.179	171.953
ERVFRD-1	59	88	67	53	54	90	57	46	33
ERVK13-1	748.319	891.384	981.167	648.627	716.069	1069.36	849.004	683.807	545.354
ERVMER34-1	1	2	1	3	1	3	3	3	0
ERVV-1	26.6436	42.0819	53.2156	25.6771	29.8837	41.2253	28.6019	30.7422	22.1572
ERVV-2	0	0	0	0	0	1	0	0	0
ESAM	11	11	8	10	6	23	10	11	6
ESCO1	1644	1542	1816	1218	1251	1602	1263	1112	826
ESCO2	1246	1245	1417	896	932	1171	898	780	564
ESD	934	966	1065	637	653	911	612	531	373
ESF1	848	873.9996	993.0003	676.000000010812	671	990	612.0001	579	431.0004
ESM1	0	0	0	0	0	0	1	0	0
ESPL1	2192	2333	2740	1398	1455	1986	1199	1079	738
ESPN	0	2	0	2	2	7	22	13	12
ESPNL	36	37	58	43	37	59	57	33	36
ESPNP	2	0	1	3	1	2	4	1	0
ESR1	14	20	17	18	19	24.99998	23.00004	18	21.99999
ESR2	171.00006	211.000027945	230.9999398	320.000006719	375	569.99983	595.0003	530.0002	341.99995
ESRG	1327.07	1485.62	1587.06	934.771	1016.76	1771.36	1072.08	886.317	715.449
ESRP1	0	0	0	1.0000002	1.0000002	2.0000019	0	1	1.0000005
ESRP2	29.0657	58.5812	43.2222	35.746	31.1708	42.8131	35.8982	30.6118	23.5252
ESRRA	728	1000	1142	680	693	894	622	583	402
ESRRB	0	0	2	0	1	0	2	0	0
ESRRG	28.0078	30.0449	41.0246	29.0778	28.0835	51.04992	39.0403	30.1235	12.0518
ESX1	0	0	0	0	0	0	0	0	0
ESYT1	2117.003	2217.998	2504.003	1897.004	1947.998	2581.003	2098.997	1883	1393.001
ESYT2	715.935	803.5	897.095	622.661	666.631	844.045	758.886	643.677	435.559
ESYT3	8	6	9	5	6	17	25	18	5
ETAA1	645	634	674	504	501	697	485	447	342
ETF1	5368.996	5500.004	6255.004	3511.9984	3467.003	4360	3029.9982	2669.996	1833.0004
ETFA	2235.9995	2276.9986	2587.9991	1557.9991	1539.9994	2070.9976	1436.9952	1289.001	955.00004
ETFB	927.0002	1166.9977	1336.0001	766.0001	803.0005	1080.9979	644.9997	584.9999	432.00006
ETFDH	370	375	435	241	272	329	253	221	173
ETHE1	182	215	223	157	141	220	166	147	90
ETNK1	2238.078	2399.191	2532.285	2159.999	2158.479	2915.302	2372.996	2190.84	1477.228
ETNK2	8	5	10	4	11	21	16	15	9
ETS1	3610.0477	3860.0427	4390.4191	2940.122	3156.5004	4272.03856	3486.9944	3094.378	2300.7707
ETS2	558.79688	536.86144	586.8297	394.79812	367.721	571.594	379.47176	357.7274	268.6368
ETV1	2	4	6.999996501	2	5	3	0	2	3
ETV2	9	14	22	35	46	66	60	49	46
ETV3	374.7856	413.2302	420.8774	357.9735	320.4865	468.8887	373.3995	344.6827	249.9754
ETV3L	0	0	0	1.03671	2.08162	2.07161	2.08726	1.03864	1.02418
ETV4	60.99992	61.9999729	84.9999	58	37.999956763	74.00003971994	43.99999	45.99996	21
ETV5	106	98	126	179	181	283	295	249	193
ETV6	1012.84	1089.66	1121.78	736.973	769.546	1100.35	887.764	812.59	642.655
ETV7	18	18	16	14	10	16.00004	11	12	10
EVA1A	0	0	0	0	0	0	0	0	0
EVA1B	7	11	13	4	10	12	10	5	7
EVA1C	0	0	0	0	0	1	0	0	0
EVC	262.726	301.357	342.428	227.433	223.828	376.169	305.099	230.367	173.496
EVC2	135.9997	187	163.9996	164	180.9997	290.9999	196.9999	185.0003	127.9996
EVI2A	544.1118	560.1046	644.0047	660.0126	649.1208	912.353	738.2144	615.1176	461.1239
EVI2B	996	1007	1070	1036	970	1600	1074	1061	730
EVI5	736.317	955.189	952.844	669.811	699.508	983.531	749.959	697.436	484.125
EVI5L	88	100	102	80	92.99999	136.0004	96	86	74
EVL	676	722	888	585	649	1012	923	755	658
EVPL	14.2572	22	14	29	30	58	68	62	58
EVPLL	11.7428	26	26	22	27	20	25	21	9
EVX1	0	0	0	0	0	0	1	0	0
EVX2	0	0	0	0	0	0	0	1	0
EWSR1	5348.9923	5917.9933	6631.9926	3749.0008	3774.9976	5269.0067	3428.9952	2954.0033	2280.001
EXD1	11.1291	15.8579	15.3132	17.1852	11.3386	20.5658	17.4283	13.5426	9.26693
EXD2	143.99997	176.000000028884	158	138.99998	152.00003	175.00001	156.0000048	147.99999	80.00002517
EXD3	2	0	6	4	6	10	24	24	13
EXO1	2132.997	2120.005	2382.996	1503	1596.0007	2135	1626	1531	1096
EXO5	8.38098	32.389	22.261	25.1392	16.7021	24.8696	28.0332	14.8715	18.2863
EXOC1	826	835	866	654	755	900	777	686	541
EXOC2	1335	1297	1365	1050	1031	1388.002	1199	951	702
EXOC3	1339.05	1425.61	1588.08	1271.2	1386.03	2119.11	1821.57	1577.7	1114.28
EXOC3L1	3	3	7	4	1	5	12	12	7
EXOC3L2	64.1042	105.777	92.6545	76.4702	67.1866	97.4852	90.2053	69.7979	44.8421
EXOC3L4	12	12	13	14	20	20	23	16	10
EXOC4	1503.0046	1603.004	1673.0037	1350.001	1475.996	2006.998	1746.005	1537	1078
EXOC5	2517	2634	2727	1787	1847	2343	1832	1650.38	1120
EXOC6	696	745	811	528	602	767	572	521	368.9999
EXOC6B	109	120	123	111	116	199	158	144	97
EXOC7	1600.368	1814.1729	2042.263	1475.0392	1566.102	2020.0562	1442.0478	1231.7473	915.4313
EXOC8	1384.33	1503.72	1653.08	1213.71	1230.5	1782.06	1457.95	1371.41	920.886
